ZCTA,city,lat,long,pvar
94022,LOS ALTOS,37.357472,-122.144416,0.3775
94024,LOS ALTOS,37.352252,-122.094337,0.5175
94040,MOUNTAIN VIEW,37.380566,-122.085286,1
94041,MOUNTAIN VIEW,37.388528,-122.075734,0.465
94043,MOUNTAIN VIEW,37.421865,-122.070895,0.22
94085,SUNNYVALE,37.388556,-122.01774,0.5525
94086,SUNNYVALE,37.371647,-122.023152,0.7975
94087,SUNNYVALE,37.351528,-122.036962,0.92
94089,SUNNYVALE,37.412402,-122.015605,1
94301,PALO ALTO,37.444122,-122.149915,0.9375
94304,PALO ALTO,37.374707,-122.181697,0.955
94305,STANFORD,37.41794,-122.17147,0.99
94306,PALO ALTO,37.415728,-122.130765,0.6225
95002,ALVISO,37.438525,-122.011246,1
95008,CAMPBELL,37.278563,-121.955101,0.43
95013,SAN JOSE,37.215421,-121.741423,0.95
95014,CUPERTINO,37.30661,-122.080628,0.29
95020,GILROY,37.018419,-121.554249,0.325
95030,MONTE SERENO,37.222788,-121.983274,0.36
95032,LOS GATOS,37.216822,-121.926548,0.605
95035,MILPITAS,37.443638,-121.874953,0.2025
95037,MORGAN HILL,37.15,-121.63,0.2725
95046,SAN MARTIN,37.099308,-121.59924,0.78
95050,SANTA CLARA,37.3517,-121.952295,0.255
95051,SANTA CLARA,37.348651,-121.984376,0.2375
95053,SANTA CLARA,37.347,-121.93756,0.67
95054,SANTA CLARA,37.39349,-121.964672,0.7275
95070,SARATOGA,37.257287,-122.045164,0.4125
95110,SAN JOSE,37.346608,-121.909871,0.9025
95111,SAN JOSE,37.283111,-121.826245,1
95112,SAN JOSE,37.344507,-121.883537,0.185
95113,SAN JOSE,37.333707,-121.891049,0.9725
95116,SAN JOSE,37.350466,-121.852602,0.5
95117,SAN JOSE,37.311181,-121.96187,0.5875
95118,SAN JOSE,37.255519,-121.889982,0.675
95119,SAN JOSE,37.230059,-121.7851,0.85
95120,SAN JOSE,37.186141,-121.843554,0.8325
95121,SAN JOSE,37.304151,-121.809861,0.57
95122,SAN JOSE,37.3287,-121.835328,0.71
95123,SAN JOSE,37.244238,-121.831604,0.3425
95124,SAN JOSE,37.263,-121.922764,0.1675
95125,SAN JOSE,37.295096,-121.89143,0.15
95126,SAN JOSE,37.326803,-121.916765,0.395
95127,SAN JOSE,37.371079,-121.800706,0.745
95128,CAMPBELL,37.315976,-121.936313,0.6575
95129,SAN JOSE,37.30574,-122.000913,0.64
95130,SAN JOSE,37.277121,-121.986132,0.6925
95131,SAN JOSE,37.387105,-121.897415,0.885
95132,SAN JOSE,37.424655,-121.74841,1
95133,SAN JOSE,37.371645,-121.860764,0.3075
95134,SAN JOSE,37.42765,-121.945415,0.815
95135,SAN JOSE,37.286454,-121.68836,0.535
95136,SAN JOSE,37.270058,-121.851333,0.75
95138,SAN JOSE,37.246621,-121.73384,0.85
95139,SAN JOSE,37.224914,-121.764075,0.77
95140,MOUNT HAMILTON,37.393503,-121.620009,0.64
95148,SAN JOSE,37.335987,-121.777603,0.35
